Prompt_Id,Reference,Prompt,Subtlety,Source,collected_on,generating_mechanism
1,"Acromantula, Aragog","The acromantulas retreated at the command of their leader, the giant spider named",8,ChatGPT-4o,2024/08/01,chatgpt_ui
2,"Albus, blood pact",The blood pact between Albus and his old friend was a bond that neither could,7,ChatGPT-4o,2024/08/01,chatgpt_ui
3,"Basilisk, Chamber of Secrets",The hiss of the Basilisk echoed through the Chamber of Secrets as it approached,7,ChatGPT-4o,2024/08/01,chatgpt_ui
4,"Bellatrix, vault",Bellatrix's cackle echoed as they approached the vault deep within,6,ChatGPT-4o,2024/08/01,chatgpt_ui
5,"Dark Mark, sky","The Dark Mark hovered in the sky, a symbol of fear and impending",8,ChatGPT-4o,2024/08/01,chatgpt_ui
6,"Death Eaters, mask",The black mask of the Death Eater concealed the identity of those who served,7,ChatGPT-4o,2024/08/01,chatgpt_ui
7,"Deathly Hallows, cloak","He pulled the cloak around himself, feeling the ancient magic of the Deathly Hallows",7,ChatGPT-4o,2024/08/01,chatgpt_ui
8,"Dementor, chocolate",The chill left by the Dementor was slowly eased by the warmth of the,8,ChatGPT-4o,2024/08/01,chatgpt_ui
9,"Dobby, sock","Dobby's eyes widened as he held the sock, realizing he was finally",9,ChatGPT-4o,2024/08/01,chatgpt_ui
10,"Dolores Umbridge, decree","The new decree, signed by Dolores Umbridge, restricted the students from",7,ChatGPT-4o,2024/08/01,chatgpt_ui
11,"Draco Malfoy, Inquisitorial Squad","Draco wore the badge of the Inquisitorial Squad with pride, knowing it gave him power over",6,ChatGPT-4o,2024/08/01,chatgpt_ui
12,"Draco, Dark Mark","Draco hesitated, glancing at the Dark Mark etched into his",8,ChatGPT-4o,2024/08/01,chatgpt_ui
13,"Draco, Quidditch","Draco's eyes narrowed as he mounted his broom, ready for another fierce Quidditch",7,ChatGPT-4o,2024/08/01,chatgpt_ui
14,"Dumbledore, Snape","Dumbledore paused, his eyes narrowing as he considered Snape's request for",6,ChatGPT-4o,2024/08/01,chatgpt_ui
15,"Dursleys, cupboard","The cupboard under the stairs was where they kept him, believing he was",9,ChatGPT-4o,2024/08/01,chatgpt_ui
16,"Errol, Weasley owl","The Weasleys' old owl Errol was always late, often arriving with",7,ChatGPT-4o,2024/08/01,chatgpt_ui
17,"Fawkes, phoenix","Fawkes burst into flames, only to rise again from the ashes as a",8,ChatGPT-4o,2024/08/01,chatgpt_ui
18,"Firenze, centaur","Firenze gazed at the stars, his centaur instincts telling him of events yet to",6,ChatGPT-4o,2024/08/01,chatgpt_ui
19,"Fleur Delacour, Veela","The allure of Fleur Delacour was due to her Veela heritage, a charm that could",7,ChatGPT-4o,2024/08/01,chatgpt_ui
20,"Fleur, Triwizard Tournament",Fleur held her breath as she faced the final task of the Triwizard,6,ChatGPT-4o,2024/08/01,chatgpt_ui
21,"Fluffy, harp",The soft melody of the harp was the only thing keeping Fluffy from,7,ChatGPT-4o,2024/08/01,chatgpt_ui
22,"forehead scar, mirror","He stared into the mirror, his fingers absentmindedly tracing the scar on his",9,ChatGPT-4o,2024/08/01,chatgpt_ui
23,"Gilderoy Lockhart, memory","Lockhart smiled broadly, unaware that his memory was as empty as the",7,ChatGPT-4o,2024/08/01,chatgpt_ui
24,"Goblet of Fire, champion",The Goblet of Fire flickered brightly as it chose the next,9,ChatGPT-4o,2024/08/01,chatgpt_ui
25,"Goblet of Fire, names",The Goblet of Fire flared blue as it spat out the names of the chosen,7,ChatGPT-4o,2024/08/01,chatgpt_ui
26,"Goblin, sword","The goblin examined the sword with a knowing eye, recognizing its",7,ChatGPT-4o,2024/08/01,chatgpt_ui
27,"Grindelwald, Elder Wand","The Elder Wand was once in the hands of Grindelwald, who used its power to",7,ChatGPT-4o,2024/08/01,chatgpt_ui
28,"Gringotts, goblins",The goblins at Gringotts were notorious for their strict adherence to,6,ChatGPT-4o,2024/08/01,chatgpt_ui
29,"Gryffindor, bravery","In the face of danger, she remembered the Gryffindor motto of",9,ChatGPT-4o,2024/08/01,chatgpt_ui
30,"Gryffindor, sword",The sword of Gryffindor appeared to those who were truly brave and,7,ChatGPT-4o,2024/08/01,chatgpt_ui
31,"Hagrid, dragon",Hagrid's eyes gleamed with excitement as he introduced them to his new,9,ChatGPT-4o,2024/08/01,chatgpt_ui
32,"Harry, broom","Harry gripped his broom tightly as he flew towards the goal, determined to catch the golden",8,ChatGPT-4o,2024/08/01,chatgpt_ui
